PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date
오덕후 본점,일반음식점,20170560324,20240919,20240919,-,영업소폐쇄,(20240828)영업시설 전부 철거,경상북도 경산시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-18 00:00:00.0,2024-09-20 12:41:36.1,경상북도 경산시,4626469,경상북도,경상북도 경산시,2024-09-19
미스터빠삭,일반음식점,20080181278,20240919,20240919,-,영업소폐쇄,(20240827)영업소 시설물 전부 철거,대구광역시 달서구,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2026-09-18 00:00:00.0,2024-09-25 11:43:14.869,대구광역시 달서구,4629928,대구광역시,대구광역시 달서구,2024-09-19
순,휴게음식점,20090025470,20240919,20240919,-,영업소폐쇄,(20240722)영업시설의 전부를 철거,서울특별시 종로구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-18 00:00:00.0,2024-09-21 13:42:12.138,서울특별시 종로구,4629311,서울특별시,서울특별시 종로구,2024-09-19
수정식당,일반음식점,20210426579,20240920,20241011,-,영업소폐쇄,(20240702)6개월이상 장기휴업,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623852,충청북도,충청북도 청주시,2024-09-20
(주)지피플,유통전문판매업,20180341294,20240920,20240920,-,영업소폐쇄,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626971,경기도,경기도 파주시,2024-09-20
(주)남도가,유통전문판매업,20210372596,20240920,20240920,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 19:41:27.628,경기도 파주시,4626949,경기도,경기도 파주시,2024-09-20
보양미역국 청주용암점,일반음식점,20220581303,20240920,20241011,-,영업소폐쇄,(20240710)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 12:42:09.567,충청북도 청주시 상당구,4623643,충청북도,충청북도 청주시,2024-09-20
느루,즉석판매제조가공업,20210372447,20240920,20240920,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626985,경기도,경기도 파주시,2024-09-20
(주)일곱색깔,유통전문판매업,20220493245,20240920,20240920,-,영업소폐쇄,(20240709)영업시설 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626946,경기도,경기도 파주시,2024-09-20
조이스(Joe's) PC방,휴게음식점,20200331271,20240920,20240920,-,영업소폐쇄,(20240729)영업시설 전부를 철거한 경우,경기도 안산시 단원구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-30 18:41:56.895,경기도 안산시 단원구,4630847,경기도,경기도 안산시,2024-09-20
피플스에프엔씨,유통전문판매업,20210211591,20240920,20240920,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2026-07-01 00:55:46.815,경기도 파주시,4626950,경기도,경기도 파주시,2024-09-20
연가네닭갈비,즉석판매제조가공업,20220581288,20240920,20241011,-,영업소폐쇄,(20240703)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623595,충청북도,충청북도 청주시,2024-09-20
훈이편의점,휴게음식점,20170417214,20240920,20241011,-,영업소폐쇄,(20240710)6개월이상 장기휴업,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623610,충청북도,충청북도 청주시,2024-09-20
평민닭발상당구점,일반음식점,20220581573,20240920,20241011,-,영업소폐쇄,(20240703)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623628,충청북도,충청북도 청주시,2024-09-20
한국유통마트,축산물판매업-식육판매업,20170316385,20240923,-,-,영업소폐쇄,(20240805)타. 법 제24조제2항을 위반하여 신고를 하지 않은 경우,경기도 안산시 단원구,,,영업소폐쇄,축산물 위생관리법,2026-09-22 00:00:00.0,2024-09-23 11:52:21.0,경기도 안산시,4629541,경기도,경기도 안산시,2024-09-23
황금푸드,일반음식점,20150363002,20240923,20240923,-,영업소폐쇄,(20240729)영업시설의 전부를 철거,경기도 김포시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-22 00:00:00.0,2024-10-08 22:41:55.34,경기도 김포시,4631925,경기도,경기도 김포시,2024-09-23
초이마트(선부점),축산물판매업-식육판매업,20070316880,20240923,-,-,영업소폐쇄,(20240805)타. 법 제24조제2항을 위반하여 신고를 하지 않은 경우,경기도 안산시 단원구,,,영업소폐쇄,축산물 위생관리법,2026-09-22 00:00:00.0,2024-09-23 11:51:59.0,경기도 안산시,4629540,경기도,경기도 안산시,2024-09-23
(주)삼정유통,축산물판매업-식육판매업,20210246182,20240924,-,-,영업허가·등록취소,(20240816)축산물 위생관리법,대전광역시 대덕구,,,영업허가취소(축산물위생관리법),축산물 위생관리법,2026-09-23 00:00:00.0,2024-09-25 09:50:24.0,대전광역시 대덕구,4630122,대전광역시,대전광역시 대덕구,2024-09-24
한양마트(오동점),기타식품판매업,20130595082,20240924,20240924,-,영업소폐쇄,(20240822)영업시설의 전부 철거 멸실,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-06 19:41:14.5,경상남도 창원시 마산합포구,4631666,경상남도,경상남도 창원시,2024-09-24
(주)스마트셰프,축산물판매업-축산물유통전문판매업,20200246213,20240924,-,-,영업허가·등록취소,(20240816)축산물 위생관리법 제27조제1항,대전광역시 대덕구,,,영업허가취소(축산물위생관리법),축산물 위생관리법 제24조(영업의 신고) 1항,2026-09-23 00:00:00.0,2024-09-25 09:34:33.0,대전광역시 대덕구,4630124,대전광역시,대전광역시 대덕구,2024-09-24
동해축산,식육즉석판매가공업,20200419011,20240924,-,-,영업허가·등록취소,(20200901)축산물 위생관리법,강원특별자치도 양구군,,,영업허가취소(축산물위생관리법),축산물 위생관리법 제24조(영업의 신고) 2항,2026-09-23 00:00:00.0,2024-09-25 15:39:13.0,강원특별자치도 양구군,4630250,강원특별자치도,강원특별자치도 양구군,2024-09-24
에이스,단란주점,19940046006,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626754,서울특별시,서울특별시 중랑구,2024-09-24
뮤직타운,단란주점,19970046482,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626751,서울특별시,서울특별시 중랑구,2024-09-24
진성왕후,단란주점,19970046582,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626752,서울특별시,서울특별시 중랑구,2024-09-24
베스트컴(Best com),일반음식점,20020150290,20240924,20241024,-,영업소폐쇄,(20240813)영업소 시설의 전부철거(시설물 멸실),부산광역시 연제구,,,영업소폐쇄(2024. 9. 24.자),식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-19 20:41:35.347,부산광역시 연제구,4633801,부산광역시,부산광역시 연제구,2024-09-24
CU한성대역점,식품자동판매기영업,20170050756,20240924,20240924,-,영업소폐쇄,(20240826)건물 멸실에 따른 영업소 폐쇄,서울특별시 성북구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 19:41:25.037,서울특별시 성북구,4625832,서울특별시,서울특별시 성북구,2024-09-24
목우촌 웰빙마을 신촌그랑자이점,축산물판매업-식육판매업,20200069724,20240924,-,-,영업소폐쇄,(20240902)영업시설 전부 철거,서울특별시 마포구,,,영업소폐쇄,축산물 위생관리법 제21조(영업의 종류 및 시설기준) 1항,2026-09-23 00:00:00.0,2024-10-11 15:40:54.0,서울특별시 마포구,4632504,서울특별시,서울특별시 마포구,2024-09-24
엠비씨(MBC)노래뱅크,단란주점,19930046868,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626755,서울특별시,서울특별시 중랑구,2024-09-24
루미,일반음식점,20070168213,20240924,20241010,-,영업소폐쇄,(20240809)지방세 3회이상 체납,대구광역시 북구,,,영업소폐쇄,지방세징수법 제7조(관허사업의 제한) 2항,2026-09-23 00:00:00.0,2024-09-27 11:41:46.847,대구광역시 북구,4630314,대구광역시,대구광역시 북구,2024-09-24
오렌지마트,기타식품판매업,20140595050,20240924,20240924,-,영업소폐쇄,(20240822)영업 시설의 전부 철거 멸실,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-06 19:41:14.5,경상남도 창원시 마산합포구,4631665,경상남도,경상남도 창원시,2024-09-24
오렌지마트,식품소분업,20140595049,20240924,20240924,-,영업소폐쇄,(20240822)영업 시설의 전부 철거 멸실,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-06 19:41:14.5,경상남도 창원시 마산합포구,4631667,경상남도,경상남도 창원시,2024-09-24
부영,유흥주점영업,19990612325,20240925,20240925,-,영업소폐쇄,(20240510)폐업신고 미이행,경상남도 거제시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-24 00:00:00.0,2024-10-21 18:41:53.325,경상남도 거제시,4633860,경상남도,경상남도 거제시,2024-09-25
한잔,일반음식점,20170150108,20240925,20240925,-,영업소폐쇄,(20240730)영업시설의 전부 철거(시설물 멸실),부산광역시 연제구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-24 00:00:00.0,2024-09-26 16:42:41.908,부산광역시 연제구,4630225,부산광역시,부산광역시 연제구,2024-09-25
올리브,유흥주점영업,19840612079,20240925,20240925,-,영업소폐쇄,(20240510)폐업신고미이행,경상남도 거제시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-24 00:00:00.0,2024-10-21 18:41:53.325,경상남도 거제시,4633861,경상남도,경상남도 거제시,2024-09-25
키노앙 진주역점,일반음식점,20240910825,20240927,20240927,-,영업소폐쇄,(20240816)영업시설을 전부철거한경우(시설없이 영업신한 경우 포함),경상남도 진주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-26 00:00:00.0,2024-10-01 13:41:27.131,경상남도 진주시,4630898,경상남도,경상남도 진주시,2024-09-27
(주)이로운에프앤비,즉석판매제조가공업,20190106520,20240927,20240927,-,영업소폐쇄,(20240905)영업시설의 전부를 철거한 경우,서울특별시 강남구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-26 00:00:00.0,2024-09-28 18:41:05.188,서울특별시 강남구,4627556,서울특별시,서울특별시 강남구,2024-09-27
유로마트24,건강기능식품일반판매업,20160233506,20240927,20240927,-,영업소폐쇄,(20240419)시설물 멸실,대전광역시 중구,,,영업소폐쇄,건강기능식품에 관한 법률 제32조(영업허가취소 등) 1항,2026-09-26 00:00:00.0,2024-09-29 14:41:27.536,대전광역시 중구,4630738,대전광역시,대전광역시 중구,2024-09-27
김씨네매콤떡볶이,즉석판매제조가공업,20230053787,20240927,20240927,-,영업소폐쇄,(20240820)영업시설의 전부를 철거한 경우,경기도 화성시 동탄구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-26 00:00:00.0,2026-03-13 15:40:29.042,경기도 화성시 동탄구,4624574,경기도,경기도 화성시,2024-09-27
아틀리에 송(Atlier Song),일반음식점,20180025175,20240930,20241002,-,영업소폐쇄,(20240829)6개월 이상 무단 휴업,서울특별시 종로구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-29 00:00:00.0,2024-10-03 16:41:11.768,서울특별시 종로구,4631305,서울특별시,서울특별시 종로구,2024-09-30
여기밥집,일반음식점,20210274469,20241002,20241002,-,영업소폐쇄,(20240528)2024.5.28. 현재 시설물 전부 철거,경기도 수원시 영통구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-01 00:00:00.0,2024-10-03 12:41:11.621,경기도 수원시 영통구,4610781,경기도,경기도 수원시,2024-10-02
옥계양조장,식품제조가공업(주류),19860015001,20241002,20241002,-,영업허가·등록취소,"(20240314)해당 영업소 소재지의 관련 영업시설을 전부 철거하고, 변경등록을 하지 않은 사실이 있음",강원특별자치도 강릉시,,,영업허가·등록취소,식품위생법 제36조(시설기준),2026-10-01 00:00:00.0,2024-08-30 11:05:08.431,서울청,4626601,강원특별자치도,강원특별자치도 강릉시,2024-10-02
삼봉표 아리랑 막걸리,식품제조가공업(주류),20150002247,20241002,20241002,-,영업허가·등록취소,"(20240319)해당 영업소 소재지의 관련 영업시설을 전부 철거하고, 변경등록을 하지 않은 사실이 있음",강원특별자치도 원주시,,,영업허가·등록취소,식품위생법 제36조(시설기준),2026-10-01 00:00:00.0,2024-08-30 11:01:32.872,서울청,4626600,강원특별자치도,강원특별자치도 원주시,2024-10-02
정성한상 남양주점,일반음식점,20190346107,20241004,20241004,-,영업소폐쇄,(20240725)영업시설물 멸실,경기도 구리시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-10-03 00:00:00.0,2024-10-07 17:42:27.622,경기도 구리시,4620463,경기도,경기도 구리시,2024-10-04
화룡,식품제조가공업,20160490059,20241004,20241004,-,영업허가·등록취소,(20240701)영업장 시설물 철거,전북특별자치도 정읍시,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-10-03 00:00:00.0,2026-07-01 00:55:46.815,전북특별자치도 정읍시,4631531,전북특별자치도,전북특별자치도 정읍시,2024-10-04
해바라기 댄스,일반음식점,20230057672,20241004,20241014,-,영업소폐쇄,(20240826)2023년 7월 17일 영업신고 후 영업을 하던 중 영업장소 위치변경을 변경신고없이 함.,서울특별시 동대문구,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2026-10-03 00:00:00.0,2024-10-05 12:41:24.873,서울특별시 동대문구,4627393,서울특별시,서울특별시 동대문구,2024-10-04
루스코,즉석판매제조가공업,20170129250,20241004,20241004,-,영업소폐쇄,(20240829)영업시설물의 전부 철거(시설물 멸실),부산광역시 동구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-03 00:00:00.0,2024-10-31 12:41:33.606,부산광역시 동구,4635714,부산광역시,부산광역시 동구,2024-10-04
로하스 영농 조합 법인,식품제조가공업,20160490277,20241004,20241004,-,영업허가·등록취소,(20240701)영업장 시설물 철거,전북특별자치도 정읍시,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등) 7항,2026-10-03 00:00:00.0,2024-10-09 16:41:24.035,전북특별자치도 정읍시,4631532,전북특별자치도,전북특별자치도 정읍시,2024-10-04
대성식품,집단급식소 식품판매업,20080595317,20241004,20241004,-,영업소폐쇄,(20240911)시설물 전부 철거 멸실,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-03 00:00:00.0,2024-10-05 22:41:20.3,경상남도 창원시 마산합포구,4631602,경상남도,경상남도 창원시,2024-10-04
(주)홀빈스트리트,식품제조가공업,20180494169,20241004,20241004,-,영업허가·등록취소,(20240701)영업장 시설물 철거,전북특별자치도 정읍시,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-10-03 00:00:00.0,2024-10-09 16:41:24.035,전북특별자치도 정읍시,4631535,전북특별자치도,전북특별자치도 정읍시,2024-10-04
풀잎채 가산점,일반음식점,20150084086,20241007,20241007,-,영업소폐쇄,(20240822)시설물 멸실,서울특별시 금천구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-10-06 00:00:00.0,2024-10-08 12:41:33.295,서울특별시 금천구,4626104,서울특별시,서울특별시 금천구,2024-10-07
(주)이루다팜,즉석판매제조가공업,20200371801,20241007,20241007,-,영업소폐쇄,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626969,경기도,경기도 파주시,2024-10-07
(주)비원씨앤알,용기.포장지제조업,20100355081,20241007,20241007,-,영업소폐쇄,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626951,경기도,경기도 파주시,2024-10-07
샘유통,즉석판매제조가공업,20180372778,20241007,20241007,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626981,경기도,경기도 파주시,2024-10-07
더루나,일반음식점,20130461128,20241007,20241007,-,영업허가·등록취소,(20240923)폐업신고를 하지않음(관할 세무서장에게 폐업신고를 하거나 관할 세무서장이 사업자등록을 말소한 경우),충청남도 아산시,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등) 7항,2026-10-06 00:00:00.0,2025-08-02 13:41:16.129,충청남도 아산시,4629810,충청남도,충청남도 아산시,2024-10-07
초월GF,식품제조가공업,20150356056,20241007,20241007,-,영업허가·등록취소,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2026-07-01 00:55:46.815,경기도 파주시,4626972,경기도,경기도 파주시,2024-10-07
페이즐리,유통전문판매업,20210372281,20241007,20241007,-,영업소폐쇄,(20240719)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626983,경기도,경기도 파주시,2024-10-07
브레댄코(부산 문현점),제과점영업,20100137096,20241007,20241007,-,영업소폐쇄,(20240710)영업시설의 전부 철거,부산광역시 남구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-10-06 00:00:00.0,2024-10-08 19:41:19.357,부산광역시 남구,4631893,부산광역시,부산광역시 남구,2024-10-07
"더 좋은 활어회,초밥",즉석판매제조가공업,20210372373,20241007,20241007,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2026-07-01 00:55:46.815,경기도 파주시,4626934,경기도,경기도 파주시,2024-10-07
오밀당 금촌점,즉석판매제조가공업,20220494009,20241007,20241007,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4627009,경기도,경기도 파주시,2024-10-07
주식회사유에스퍼시픽바이오,유통전문판매업,20200372506,20241007,20241007,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4627014,경기도,경기도 파주시,2024-10-07
주식회사 뉴신흥,식품소분업,20200371221,20241007,20241007,-,영업소폐쇄,(20230310)영업시설의 전부를 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 15:43:00.199,경기도 파주시,4626936,경기도,경기도 파주시,2024-10-07
동훈홀딩스,유통전문판매업,20220494216,20241007,20241007,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4627143,경기도,경기도 파주시,2024-10-07
굿패스 바이탈,유통전문판매업,20210373304,20241007,20241007,-,영업소폐쇄,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626970,경기도,경기도 파주시,2024-10-07
(주)제이앤에스코퍼레이션,유통전문판매업,20200371712,20241007,20241007,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626948,경기도,경기도 파주시,2024-10-07
명품 장어즙,즉석판매제조가공업,20210372806,20241007,20241007,-,영업소폐쇄,(20240807)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-06 00:00:00.0,2024-10-07 16:43:06.208,경기도 파주시,4626974,경기도,경기도 파주시,2024-10-07
씨유마산장군천하점,식품자동판매기영업,20180587007,20241008,20241008,-,영업소폐쇄,(20240910)영업 시설의 전부 철거,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-07 00:00:00.0,2024-10-09 19:41:24.494,경상남도 창원시 마산합포구,4632076,경상남도,경상남도 창원시,2024-10-08
이마트24 마산산호점,식품자동판매기영업,20170595279,20241008,20241008,-,영업소폐쇄,(20240911)영업 시설의 전부 철거,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-07 00:00:00.0,2024-10-09 19:41:24.494,경상남도 창원시 마산합포구,4632091,경상남도,경상남도 창원시,2024-10-08
리보컴퍼니,건강기능식품일반판매업,20220256096,20241008,20241008,-,영업소폐쇄,(20240802)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632665,인천광역시,인천광역시 연수구,2024-10-08
정남이네 다락방,건강기능식품일반판매업,20220256184,20241008,20241008,-,영업소폐쇄,(20240802)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632667,인천광역시,인천광역시 연수구,2024-10-08
운명천사,건강기능식품일반판매업,20220256078,20241008,20241008,-,영업소폐쇄,(20240802)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632666,인천광역시,인천광역시 연수구,2024-10-08
CU마산교방초교점,식품자동판매기영업,20180587378,20241008,20241008,-,영업소폐쇄,(20240911)영업 시설의 전부 철거,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-07 00:00:00.0,2024-10-09 19:41:24.494,경상남도 창원시 마산합포구,4632090,경상남도,경상남도 창원시,2024-10-08
케이제이,건강기능식품일반판매업,20200199614,20241008,20241008,-,영업소폐쇄,(20240809)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632660,인천광역시,인천광역시 연수구,2024-10-08
미나미 스토어,건강기능식품일반판매업,20220257772,20241008,20241008,-,영업소폐쇄,(20240816)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632662,인천광역시,인천광역시 연수구,2024-10-08
이마트24 마산신세계점,식품자동판매기영업,20170595191,20241008,20241008,-,영업소폐쇄,(20240911)영업 시설의 전부 철거,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-07 00:00:00.0,2024-10-09 19:41:24.494,경상남도 창원시 마산합포구,4632075,경상남도,경상남도 창원시,2024-10-08
다원상사,건강기능식품일반판매업,20200203072,20241008,20241008,-,영업소폐쇄,(20240802)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632663,인천광역시,인천광역시 연수구,2024-10-08
(주)정옥,축산물가공업-식육가공업,20220202001,20241008,-,-,영업허가·등록취소,(20240905)[식약처지정] 2) 영업시설의 전부를 철거한 경우(시설없이 영업등록을 한 경우를 포함한다),대구광역시 북구,,,-,축산물 위생관리법 제27조(허가의 취소 등) 3항,2026-10-07 00:00:00.0,2025-02-27 17:35:14.0,대구광역시,4654865,대구광역시,대구광역시 북구,2024-10-08
위시리스트63,건강기능식품일반판매업,20210199421,20241008,20241008,-,영업소폐쇄,(20240809)영업시설의 전부를 철거한 경우,인천광역시 연수구,,,영업소폐쇄,건강기능식품에 관한 법률 제4조(영업의 종류 및 시설기준) 1항,2026-10-07 00:00:00.0,2026-07-01 00:55:46.815,인천광역시 연수구,4632661,인천광역시,인천광역시 연수구,2024-10-08
착한가계,일반음식점,20240862140,20241010,20241010,-,영업소폐쇄,(20240923)영업시설물 전부 철거,경상북도 경산시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-09 00:00:00.0,2024-10-11 16:43:26.2,경상북도 경산시,4629953,경상북도,경상북도 경산시,2024-10-10
이뮨베이커리카페,일반음식점,20210383583,20241010,20241010,-,영업소폐쇄,(20240821)영업시설의 전부를 철거한 경우,경기도 화성시 동탄구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-09 00:00:00.0,2026-03-13 15:40:29.042,경기도 화성시 동탄구,4624928,경기도,경기도 화성시,2024-10-10
이뮨베이커리 카페,식품제조가공업,20210386454,20241010,20241010,-,영업허가·등록취소,(20240821)영업시설의 전부를 철거한 경우,경기도 화성시 동탄구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2026-10-09 00:00:00.0,2026-03-13 15:40:29.042,경기도 화성시,4624927,경기도,경기도 화성시,2024-10-10
벽산손두부,즉석판매제조가공업,20060131052,20241010,20241010,-,영업소폐쇄,(20240913)시설물멸실,부산광역시 부산진구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-10-09 00:00:00.0,2024-10-12 13:41:38.343,부산광역시 부산진구,4632384,부산광역시,부산광역시 부산진구,2024-10-10
