PRDTNM,BSSHNM,MNFDT,DISTBTMLMT,ADDR,INSTT_NM,REGSTR_TELNO,BRCDNO,FRMLCUNIT,TEST_ITMNM,STDR_STND,TESTANALS_RSLT,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,LCNS_NO,REPORTR_TELNO,PRDLST_CD_NM,sido,sigungu,record_date
로즈마리,임*숙,데이터없음,2026.8.4.(의뢰일자),경기도 광주시,서울특별시 보건환경연구원 강남농수산물검사소,,,,피리플루퀴나존,0.01 mg/kg 이하 (기준 규격 없음),2.58 mg/kg,2026.08.04,3000232082,,,,로즈마리,경기도,경기도 광주시,2026-08-04
로즈마리,임*숙,데이터없음,2026.8.4.(의뢰일자),경기도 광주시,서울특별시 보건환경연구원 강남농수산물검사소,,,,파클로부트라졸,0.01 mg/kg 이하 (기준 규격 없음),4.62 mg/kg,2026.08.04,3000232082,,,,로즈마리,경기도,경기도 광주시,2026-08-04
상추,최*영,20260803,,경북 포항시,경상북도 보건환경연구원 식의약연구부 포항농수산물검사소,,,,터부포스,1.5 이하,4.8,2026.08.05,3000232107,,,,상추,경북,경북 포항시,2026-08-05
상추,권*남,20260802,,경기도 이천시,경인청 농축수산물안전과,,PL02002109366,,오리사스트로빈,0.01 이하,0.04,2026.08.05,3000232120,,,,상추,경기도,경기도 이천시,2026-08-05
상추,통*,20260723,2026.07.23,충남 논산시,,,,,에마멕틴 벤조에이트,0.3 mg/kg 이하,0.8 mg/kg,2026.08.05,3000232131,,,,상추,충남,충남 논산시,2026-08-05
고구마순,김*선,20260804,,전남광주통합특별시 서구,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,디노테퓨란,0.05 mg/kg 이하(고구마줄기),0.21 mg/kg,2026.08.05,3000232133,,,,고구마줄기,전남광주통합특별시,전남광주통합특별시 서구,2026-08-05
고구마순,정*철,20260804,,전남광주통합특별시 서구,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,인독사카브,0.1 mg/kg 이하(고구마줄기),0.3 mg/kg,2026.08.05,3000232140,,,,고구마줄기,전남광주통합특별시,전남광주통합특별시 서구,2026-08-05
S-1379 비름나물,이*식,20260805,,경기 고양시,인천광역시 보건환경연구원 식약연구부 삼산농산물검사소,,,,플루벤디아마이드,0.01 이하,1.713,2026.08.05,3000232146,,,,비름나물,경기,경기 고양시,2026-08-05
고춧잎,양*원,데이터없음,20260805(의뢰일자),강원도 철원군,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,플루아지남,0.01(PLS),51.60 mg/kg,2026.08.05,3000232151,,,,고춧잎,강원도,강원도 철원군,2026-08-05
완도-139(근대),임*례,20260803,,경기도 여주시,전남광주통합특별시 전남보건환경연구원 동부지원 농산물검사소,,,,에톡사졸,0.01 이하,0.47,2026.08.06,3000232182,,,,근대,경기도,경기도 여주시,2026-08-06
에나배주스,한국배영농조합법인,데이터없음,2028.04.21,경상남도 진주시,경상남도 보건환경연구원 감염병연구부,,,100ml,세균수,"n=5, c=1, m=100, M=1000","0, 0, 2900, 0, 0",2026.08.06,3000232189,202409104536,20240910453,,과.채주스,경상남도,경상남도 진주시,2026-08-06
미나리,이*남,데이터없음,2026.8.6.(수거일자),경북 청도군,서울특별시 보건환경연구원 강남농수산물검사소,,,,이프로벤포스,0.01 mg/kg 이하 (기준 규격 없음),0.04 mg/kg,2026.08.06,3000232200,,,,미나리,경북,경북 청도군,2026-08-06
미나리,이*남,데이터없음,2026.8.6.(수거일자),경북 청도군,서울특별시 보건환경연구원 강남농수산물검사소,,,,프로사이미돈,0.15 mg/kg 이하 (엽경채류),0.65 mg/kg,2026.08.06,3000232200,,,,미나리,경북,경북 청도군,2026-08-06
얼갈이,양*곤,20260806,,경기 포천시,,,,,메트코나졸,3.0 mg/kg 이하,5.2 mg/kg,2026.08.07,3000232207,,,,엇갈이배추,경기,경기 포천시,2026-08-07
셀러리,김*현,20260806,,경기도 이천시,서울특별시 보건환경연구원 강남농수산물검사소,,,,파클로부트라졸,0.5 mg/kg 이하,0.9 mg/kg,2026.08.07,3000232214,,,,셀러리,경기도,경기도 이천시,2026-08-07
셀러리,김*현,20260806,,경기도 이천시,서울특별시 보건환경연구원 강남농수산물검사소,,,,플룩사메타마이드,2.0 mg/kg 이하,8.2 mg/kg,2026.08.07,3000232214,,,,셀러리,경기도,경기도 이천시,2026-08-07
깻잎(LOCAL-0806-5),임*옥,20260806,2026.08.06,전남광주통합특별시 광산구,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,프로파닐,0.01 이하,0.33,2026.08.07,3000232222,,,,들깻잎,전남광주통합특별시,전남광주통합특별시 광산구,2026-08-07
홍고추,양*영,20260806,2026.08.07,충청북도 충주시,경기도 경기도보건환경연구원,,,1상자(10kg),플루트리아폴,0.01 mg/kg 이하,0.04 mg/kg,2026.08.07,3000232237,,,,고추,충청북도,충청북도 충주시,2026-08-07
적겨자,서*열,20260806,,경기도 이천시,경인청 농축수산물안전과,,2507281055852,,유니코나졸,0.01 이하,0.12,2026.08.07,3000232259,,,,겨자채,경기도,경기도 이천시,2026-08-07
비름나물,유*자,20260806,,경기도 고양시,,,,,플루벤디아마이드,0.01 mg/kg 이하(PLS),1.73 mg/kg,2026.08.07,3000232288,,,,비름나물,경기도,경기도 고양시,2026-08-07
당귀,임*훈,데이터없음,2026.08.05,경기도 포천시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,테부코나졸,0.01 mg/kg 이하(PLS 기준),0.02 mg/kg,2026.08.07,3000232309,,,,당귀(잎),경기도,경기도 포천시,2026-08-07
당귀,임*훈,데이터없음,2026.08.05,경기도 포천시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,펜디메탈린,3.0 mg/kg 이하(엽채류),3.5 mg/kg,2026.08.07,3000232309,,,,당귀(잎),경기도,경기도 포천시,2026-08-07
당귀,임*훈,데이터없음,2026.08.05,경기도 포천시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,에토프로포스,0.01 mg/kg 이하(PLS 기준),0.04 mg/kg,2026.08.07,3000232309,,,,당귀(잎),경기도,경기도 포천시,2026-08-07
고수,박*덕,데이터없음,20260805(의뢰일자),경기도 고양시,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,아미설브롬,0.01(PLS),1.06 mg/kg,2026.08.07,3000232324,,,,고수(잎),경기도,경기도 고양시,2026-08-07
고수,박*덕,데이터없음,20260805(의뢰일자),경기도 고양시,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,터부포스,0.01(PLS),1.37 mg/kg,2026.08.07,3000232324,,,,고수(잎),경기도,경기도 고양시,2026-08-07
고수,박*덕,데이터없음,20260805(의뢰일자),경기도 고양시,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,다이아지논,0.01(PLS),0.19 mg/kg,2026.08.07,3000232324,,,,고수(잎),경기도,경기도 고양시,2026-08-07
고수,박*덕,데이터없음,20260805(의뢰일자),경기도 고양시,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,플루페녹수론,0.01(PLS),0.33 mg/kg,2026.08.07,3000232324,,,,고수(잎),경기도,경기도 고양시,2026-08-07
천도,이*동진,20260807,,경상북도 경산시,경상남도 보건환경연구원 식약품연구부,,,,페니트로티온,0.1 이하,0.6,2026.08.10,3000232421,,,,복숭아,경상북도,경상북도 경산시,2026-08-10
열무,양*록,20260810,,경기도 포천시,경기도 경기도보건환경연구원,,,4kg,터부포스,0.13mg/kg,0.05mg/kg,2026.08.11,3000232440,,,,열무,경기도,경기도 포천시,2026-08-11
농산물-260810-001 복숭아1,황*중,20260810,,강원특별자치도 춘천시,강원특별자치도 보건환경연구원 식약품연구부 농산물검사과,,,,펜토에이트,0.01 mg/kg 이하,0.14 mg/kg,2026.08.11,3000232445,,,,복숭아,강원특별자치도,강원특별자치도 춘천시,2026-08-11
고구마순,김*수,20260810,,전남광주통합특별시 서구,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,프로피코나졸,0.05 mg/kg 이하(고구마줄기),3.11 mg/kg,2026.08.11,3000232454,,,,고구마줄기,전남광주통합특별시,전남광주통합특별시 서구,2026-08-11
쪽파(A-0810-3),심*숙,20260810,2026.08.10,강원특별자치도 평창군,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,포레이트,0.05 이하,0.34247253291101654,2026.08.11,3000232473,,,,쪽파,강원특별자치도,강원특별자치도 평창군,2026-08-11
쪽파(A-0810-3),심*숙,20260810,2026.08.10,강원특별자치도 평창군,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,테부피림포스,0.05 이하,0.0861343829392533,2026.08.11,3000232473,,,,쪽파,강원특별자치도,강원특별자치도 평창군,2026-08-11
상추,차*호,20260810,,경북 포항시,경상북도 보건환경연구원 식의약연구부 포항농수산물검사소,,,,이프로벤포스,0.01 이하,0.04,2026.08.11,3000232484,,,,상추,경북,경북 포항시,2026-08-11
고수,여*민,20260806,,충청남도 예산군,서울특별시 보건환경연구원 강남농수산물검사소,,,,에타복삼,0.01 mg/kg 이하,0.18 mg/kg,2026.08.11,3000232495,,,,고수(잎),충청남도,충청남도 예산군,2026-08-11
고수,여*민,20260806,,충청남도 예산군,서울특별시 보건환경연구원 강남농수산물검사소,,,,테부피림포스,0.01 mg/kg 이하,0.13 mg/kg,2026.08.11,3000232495,,,,고수(잎),충청남도,충청남도 예산군,2026-08-11
고수,여*민,20260806,,충청남도 예산군,서울특별시 보건환경연구원 강남농수산물검사소,,,,플로니카미드,0.01 mg/kg 이하,0.15 mg/kg,2026.08.11,3000232495,,,,고수(잎),충청남도,충청남도 예산군,2026-08-11
로즈,주*자,20260811,,강원도 평창군,서울특별시 보건환경연구원 강남농수산물검사소,,,,플루아지남,0.01 mg/kg 이하,0.21 mg/kg,2026.08.11,3000232502,,,,케일,강원도,강원도 평창군,2026-08-11
참나물,김*남,20260811,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,카벤다짐,2.0 mg/kg(참나물 기준),52.1 mg/kg,2026.08.13,3000232554,,,,참나물,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-13
농산물-260813-002 치커리,임*빈,20260813,,경기도 이천시,강원특별자치도 보건환경연구원 식약품연구부 농산물검사과,,,,페림존,0.01 mg/kg 이하,0.02 mg/kg,2026.08.13,3000232560,,,,치커리(잎),경기도,경기도 이천시,2026-08-13
광어,영*수산,20260811,,서울시 송파구,서울특별시 보건환경연구원 강남농수산물검사소,,,,옥시테트라싸이클린/클로르테트라싸이클린/테트라싸이클린,0.2 mg/kg,0.3 mg/kg,2026.08.13,3000232562,,,,넙치활,서울시,서울시 송파구,2026-08-13
부추,김*옥,20260812,,경기도 포천시,경기도 경기도보건환경연구원,,,350g,포레이트,0.1 mg/kg 이하,0.4 mg/kg,2026.08.13,3000232566,,,,부추,경기도,경기도 포천시,2026-08-13
바질,강*일,20260811,,경기도 양평군,서울특별시 보건환경연구원 강남농수산물검사소,,,,포레이트,0.01 mg/kg 이하,0.50 mg/kg,2026.08.13,3000232573,,,,바질(잎),경기도,경기도 양평군,2026-08-13
바질,강*일,20260811,,경기도 양평군,서울특별시 보건환경연구원 강남농수산물검사소,,,,유니코나졸,0.01 mg/kg 이하,0.10 mg/kg,2026.08.13,3000232573,,,,바질(잎),경기도,경기도 양평군,2026-08-13
바질,강*일,20260811,,경기도 양평군,서울특별시 보건환경연구원 강남농수산물검사소,,,,파클로부트라졸,0.01 mg/kg 이하,1.99 mg/kg,2026.08.13,3000232573,,,,바질(잎),경기도,경기도 양평군,2026-08-13
바질,강*일,20260811,,경기도 양평군,서울특별시 보건환경연구원 강남농수산물검사소,,,,테부코나졸,0.01 mg/kg 이하,0.11 mg/kg,2026.08.13,3000232573,,,,바질(잎),경기도,경기도 양평군,2026-08-13
로케트,황*찬,데이터없음,2026.8.13.(수거일자),경기도 김포시,서울특별시 보건환경연구원 강남농수산물검사소,,,,플루벤디아마이드,0.01 mg/kg 이하,0.18 mg/kg,2026.08.13,3000232597,,,,루꼴라,경기도,경기도 김포시,2026-08-13
쑥갓,홍*표,20260813,,충북 음성군,대전광역시 보건환경연구원 식의약연구부,,,,사이플루메토펜,0.01 이하,0.127,2026.08.14,3000232600,,,,쑥갓,충북,충북 음성군,2026-08-14
수정과,남*청,20260804,2026.08.18,경상남도 남해군,경상남도 보건환경연구원 식약품연구부,,,500ml,세균수,"n=5, c=1, m=100, M=1000","0, 360, 250, 15, 220",2026.08.14,3000232610,,20200613104,,혼합음료,경상남도,경상남도 남해군,2026-08-14
유기농 양배추환,빛가람생명농업공동체협동조합,데이터없음,2028.04.13,전남광주통합특별시 나주시,경상남도 보건환경연구원 식약품연구부,,8809279330601,100g,금속성이물,10.0미만 mg/kg,18.78 mg/kg,2026.08.14,3000232611,2010051202363,20100512023,,기타가공품,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-14
된장콩잎,보물섬 해녀언니,20260805,제조일로부터 7일,경상남도 남해군,경상남도 보건환경연구원 식약품연구부,,,200g,대장균,"n=5, c=1, m=0, M=10","40, 35, 0, 60, 50",2026.08.14,3000232616,,20250941036,,절임식품,경상남도,경상남도 남해군,2026-08-14
고춧잎,유두호유*호,20260817,,유두호 부여군,,,,,디노테퓨란,0.01 mg/kg 이하(PLS),1.34 mg/kg,2026.08.18,3000232719,,,,고춧잎,유두호,유두호 부여군,2026-08-18
셀러리,권*철,데이터없음,20260818(의뢰일자),강원특별자치도 태백시,서울특별시 보건환경연구원 강남농수산물검사소,,,kg,디노테퓨란,0.01 mg/kg 이하,0.30 mg/kg,2026.08.18,3000232757,,,,셀러리,강원특별자치도,강원특별자치도 태백시,2026-08-18
엇갈이,이*옥,데이터없음,2025.8.18.(수거일자),경기도 양주시,서울특별시 보건환경연구원 강남농수산물검사소,,,,플루오피람,0.05 mg/kg 이하 (엇갈이배추),0.20 mg/kg,2026.08.18,3000232762,,,,엇갈이배추,경기도,경기도 양주시,2026-08-18
통로메인,김*람,데이터없음,2025.8.18.(수거일자),강원도 평창군,서울특별시 보건환경연구원 강남농수산물검사소,,,,클로로탈로닐,0.01 mg/kg 이하 (기준 규격 없음),7.58 mg/kg,2026.08.18,3000232769,,,,상추,강원도,강원도 평창군,2026-08-18
상추,안*봉,20260813,,충남 부여군,서울특별시 보건환경연구원 강남농수산물검사소,,,,뷰프로페진,0.01 mg/kg 이하,2.33 mg/kg,2026.08.18,3000232786,,,,상추,충남,충남 부여군,2026-08-18
무농약 양송이버섯,윤*순,20260818,,충청남도 보령시,경인청 농축수산물안전과,,2507281051977,,카벤다짐,0.7 이하,1.0,2026.08.19,3000232805,,,,양송이버섯,충청남도,충청남도 보령시,2026-08-19
깻잎(A-0818-4),윤*정,20260819,,전남광주통합특별시 곡성군,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,플루벤디아마이드,15 이하,24,2026.08.19,3000232808,,,,들깻잎,전남광주통합특별시,전남광주통합특별시 곡성군,2026-08-19
비름나물,문*서,20260813,,대전 중구,대전광역시 보건환경연구원 식의약연구부,,,4kg*1=4kg,피플루뷰마이드,0.01 이하,0.129,2026.08.19,3000232824,,,,비름나물,대전,대전 중구,2026-08-19
농어,수*수산,2026-08-10 00:00:00.0,,경상남도 거제시,경상남도 보건환경연구원 식약품연구부,,,,엔로플록사신과 시프로플록사신 합으로서,0.1 이하,0.6383,2026.08.20,3000232846,,,,농어,경상남도,경상남도 거제시,2026-08-20
S-1409 생땅콩,확인불가,2025,,충청남도 공주시,인천광역시 보건환경연구원 식약연구부 삼산농산물검사소,,,,"총 아플라톡신(B1, B2, G1, G2의 합)",15.0 이하,164.08,2026.08.20,3000232852,,,,땅콩,충청남도,충청남도 공주시,2026-08-20
고춧잎(A-0819-2),이*엽,20260819,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,디노테퓨란,0.01 이하,0.23,2026.08.20,3000232869,,,,고춧잎,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-20
고춧잎(A-0819-2),이*엽,20260819,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,노발루론,0.01 이하,5.12,2026.08.20,3000232869,,,,고춧잎,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-20
취나물,한*수,데이터없음,2025.8.20.(의뢰일자),충청남도 부여군,서울특별시 보건환경연구원 강남농수산물검사소,,,,이프로벤포스,0.01 mg/kg 이하 (기준 규격 없음),0.94 mg/kg,2026.08.20,3000232882,,,,취나물,충청남도,충청남도 부여군,2026-08-20
회화나무,(주)팜투팜2공장,데이터없음,2027.08.11,충청남도 천안시 동남구,세종특별자치시 보건환경연구원 식품연구과,,8809176313165,,소포리코사이드,80이상 120이하,154.320,2026.08.20,3000232894,20180003915113,20180003915,,회화나무열매추출물,충청남도,충청남도 천안시,2026-08-20
깻잎(관1607-5),김*옥,20260820,,경남 밀양시,울산광역시 보건환경연구원 보건연구부 농수산물검사소,,,,메타플루미존,5.0 이하,19.2400,2026.08.21,3000232911,,,,들깻잎,경남,경남 밀양시,2026-08-21
청경채,확인불가,20260813,,확인불가,대전광역시 보건환경연구원 식의약연구부,,,4kg*1=4kg,사이플루메토펜,0.01 이하,0.316,2026.08.21,3000232918,,,,청경채,확인불가,확인불가,2026-08-21
시금치,장*진,20260821,,경기 파주시,,,,,플루아지남,0.03 mg/kg 이하,1.31 mg/kg,2026.08.21,3000232937,,,,시금치,경기,경기 파주시,2026-08-21
청경채,박*하,20260818,,경기도 이천시,대전광역시 보건환경연구원 식의약연구부,,,,사이플루메토펜,0.01 mg/kg 이하,0.13 mg/kg,2026.08.21,3000232948,,,,청경채,경기도,경기도 이천시,2026-08-21
쑥갓,신*대,20260818,,경기도 이천시,대전광역시 보건환경연구원 식의약연구부,,,,다이아지논,0.01 mg/kg 이하,0.09 mg/kg,2026.08.21,3000232952,,,,쑥갓,경기도,경기도 이천시,2026-08-21
딜,조*숙,20260818,,경기도 광명시,서울특별시 보건환경연구원 강남농수산물검사소,,,,펜토에이트,0.01 mg/kg 이하,0.13 mg/kg,2026.08.24,3000233038,,,,서양자초(잎),경기도,경기도 광명시,2026-08-24
딜,조*숙,20260818,,경기도 광명시,서울특별시 보건환경연구원 강남농수산물검사소,,,,펜티오피라드,0.01 mg/kg 이하,0.18 mg/kg,2026.08.24,3000233038,,,,서양자초(잎),경기도,경기도 광명시,2026-08-24
딜,조*숙,20260818,,경기도 광명시,서울특별시 보건환경연구원 강남농수산물검사소,,,,다이아지논,0.01 mg/kg 이하,0.31 mg/kg,2026.08.24,3000233038,,,,서양자초(잎),경기도,경기도 광명시,2026-08-24
시금치,조*호,20260824,,경기도 용인시,서울특별시 보건환경연구원 강남농수산물검사소,,,,피플루뷰마이드,0.01 mg/kg 이하,0.30 mg/kg,2026.08.24,3000233046,,,,시금치,경기도,경기도 용인시,2026-08-24
고춧잎(A-0824-7),황*열,20260824,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,플루오피람,0.1 이하,0.4,2026.08.25,3000233058,,,,고춧잎,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-25
고춧잎(A-0824-7),황*열,20260824,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,디노테퓨란,0.01 이하,2.33,2026.08.25,3000233058,,,,고춧잎,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-25
쪽파,윤*석,20260824,,울산광역시 울주군,부산광역시 보건환경연구원,,,단,다이아지논,0.01 mg/kg 이하(PLS),0.06 mg/kg,2026.08.25,3000233069,,,,쪽파,울산광역시,울산광역시 울주군,2026-08-25
S-1515 쪽파,윤*학,20260825,,경기도 파주시,인천광역시 보건환경연구원 식약연구부 삼산농산물검사소,,,,포레이트,0.05 이하,0.498,2026.08.25,3000233070,,,,파,경기도,경기도 파주시,2026-08-25
미니단호박,박*미,20260824,,강원특별자치도 홍천군,강원특별자치도 보건환경연구원 식약품연구부 농산물검사과,,21000323381140150009,,프로파모카브,0.01 이하,0.1012,2026.08.25,3000233097,,,,단호박,강원특별자치도,강원특별자치도 홍천군,2026-08-25
오이,김*수,20260820,,대전 유성구,대전광역시 보건환경연구원 식의약연구부,,,,디클로르보스,0.1 mg/kg 이하,0.2 mg/kg,2026.08.25,3000233108,,,,오이,대전,대전 유성구,2026-08-25
상추,김*철,데이터없음,2025.8.25.(의뢰일자),전북특별자치도 남원시,서울특별시 보건환경연구원 강남농수산물검사소,,,,이프로발리카브,0.01 mg/kg 이하,0.86 mg/kg,2026.08.25,3000233113,,,,상추,전북특별자치도,전북특별자치도 남원시,2026-08-25
청상추,김*순,20260825,,전북특별자치도 남원시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,페니트로티온,0.01 mg/kg 이하(PLS 기준),0.74 mg/kg,2026.08.26,3000233120,,,,상추,전북특별자치도,전북특별자치도 남원시,2026-08-26
열무(N-0825-2),이*래,20260825,2026.08.25,전남광주통합특별시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,피리다벤,0.01 이하,0.04,2026.08.26,3000233121,,,,열무,전남광주통합특별시,전남광주통합특별시,2026-08-26
얼갈이,선*희,20260824,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,에마멕틴 벤조에이트,0.05 mg/kg 이하(엇갈이배추 기준),0.14 mg/kg,2026.08.26,3000233131,,,,엇갈이배추,전남광주통합특별시,전남광주통합특별시 나주시,2026-08-26
자두,최*근,20260825,2026.08.25,경북 영천시,경기도 경기도보건환경연구원,,,1상자(5kg),플루퀸코나졸,0.01 mg/kg 이하,0.06 mg/kg,2026.08.26,3000233152,,,,자두,경북,경북 영천시,2026-08-26
청경채,농업회사법인 하*농원주식회사,20260825,,경북 문경시,경인청 농축수산물안전과,,8809810530293,,카벤다짐,0.01 이하,0.34,2026.08.26,3000233165,,,,청경채,경북,경북 문경시,2026-08-26
취나물,박*현,20260826,,경상북도 성주군,대구광역시 보건환경연구원 식의약연구부,,,,티아클로프리드,0.01 이하,0.10 mg/kg,2026.08.27,3000233178,,,,취나물,경상북도,경상북도 성주군,2026-08-27
레디쉬방울무,이*석,20260822,,경기도 포천시,경기도 경기도보건환경연구원,,02002110318,300 g,메타플루미존,0.05 mg/kg,0.11 mg/kg,2026.08.27,3000233201,,20230465011,,무(뿌리),경기도,경기도 포천시,2026-08-27
미나리(SG-0825-3),하*균,20260826,,경상북도 청도군,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,프로사이미돈,0.15 이하,0.97,2026.08.27,3000233208,,,,미나리,경상북도,경상북도 청도군,2026-08-27
깻잎,이*우,20260825,,충북 옥천군,대전광역시 보건환경연구원 식의약연구부,,,,페림존,0.01 이하,0.178,2026.08.27,3000233217,,,,들깻잎,충북,충북 옥천군,2026-08-27
고춧잎,김*순,20260827,,충남 당진시,,,,,테부코나졸,5.0 mg/kg 이하,11.1 mg/kg,2026.08.28,3000233528,,,,고춧잎,충남,충남 당진시,2026-08-28
보우짱밤호박,김*춘,20260827,,전남광주통합특별시 함평군,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,프로사이미돈,0.05 mg/kg 이하(박과과채류 기준),0.10 mg/kg,2026.08.28,3000233590,,,,단호박,전남광주통합특별시,전남광주통합특별시 함평군,2026-08-28
사골육수(국내산),굿모닝 축산,20260826,2027.08.25,전북특별자치도 전주시 완산구,전북특별자치도 동물위생시험소 축산식품검사과,,,,대장균,"n=5, c=1, m=0, M=10","0, 265, 0, 0, 0",2026.08.28,3000233593,,20150478864,,식육추출가공품,전북특별자치도,전북특별자치도 전주시,2026-08-28
하먼 딸기 요구르트,안터원목장,20260826,2026.09.09,전북특별자치도 남원시,전북특별자치도 동물위생시험소 축산식품검사과,,,,대장균군,"n=5, c=2, m=0, M=10","405,695,435,365,545",2026.08.31,3000233681,2007047600521,20070476005,,농후발효유,전북특별자치도,전북특별자치도 남원시,2026-08-31
취나물,이*자,20260831,2026.08.31,충남 부여군,서울특별시 보건환경연구원 강남농수산물검사소,,,,피리다벤,0.01 mg/kg 이하,0.26 mg/kg,2026.08.31,3000233690,,,,취나물,충남,충남 부여군,2026-08-31
쌈배추,김*진,20260828,,경상남도 합천군,대구광역시 보건환경연구원 식의약연구부,,,,에마멕틴 벤조에이트,0.05 mg/kg 이하,0.17 mg/kg,2026.09.01,3000233700,,,,쌈배추,경상남도,경상남도 합천군,2026-09-01
쌈배추,김*진,20260828,,경상남도 합천군,대구광역시 보건환경연구원 식의약연구부,,,,디니코나졸,0.3 mg/kg 이하,0.6 mg/kg,2026.09.01,3000233700,,,,쌈배추,경상남도,경상남도 합천군,2026-09-01
목이버섯,(유)태림에스엠,데이터없음,"포장일자: 2026.1.14, 소비기한: 포장일로부터 2년",서울특별시 송파구,경인청 유해물질분석과,,8809260234659,1kg,카벤다짐,0.01 mg/kg,0.24 mg/kg,2026.09.01,3000233730,,20010114979,,목이버섯,서울특별시,서울특별시 송파구,2026-09-01
로케트,박*근,20260901,2026.09.01,경기 이천시,서울특별시 보건환경연구원 강남농수산물검사소,,,,메타플루미존,3.0 mg/kg 이하,14.6 mg/kg,2026.09.01,3000233744,,,,루꼴라,경기,경기 이천시,2026-09-01
목장애 요거트,청춘목장,20260824,2026.09.14,전북특별자치도 김제시,전북특별자치도 동물위생시험소 축산식품검사과,,,,대장균군,"n=5, c=2, m=0, M=10","15,355,15,5,460",2026.09.01,3000233752,201704760121,20170476012,,발효유,전북특별자치도,전북특별자치도 김제시,2026-09-01
고들빼기(2026-전주덕진-950),이*복,20260901,,전북특별자치도 완주군,전북특별자치도 보건환경연구원,,,,포레이트옥손설폭사이드,0.01 mg/kg 이하,0.08 mg/kg,2026.09.02,3000233772,,,,고들빼기,전북특별자치도,전북특별자치도 완주군,2026-09-02
꽃상추,박*영,20260901,,충청북도 충주시,대구광역시 보건환경연구원 식의약연구부,,,,포레이트,0.01 mg/kg 이하,0.04 mg/kg,2026.09.02,3000233783,,,,상추,충청북도,충청북도 충주시,2026-09-02
통뼈감자탕칼칼한맛,(주)명가,20260826,2027.08.25,경상남도 밀양시,경상남도 동물위생시험소 축산물위생과,,,,대장균군,"n=5,c=1,m=0, M=10","68,80,55,45,35",2026.09.02,3000233798,2013061121515,20130611215,,식육추출가공품,경상남도,경상남도 밀양시,2026-09-02
의정부 부대찌개,뉴푸드(주),데이터없음,2026.08.30,경상남도 창녕군,대구광역시 보건환경연구원 식의약연구부,,8809142023814,"1,270g",대장균,"n=5, c=1, m=0, M=10","3500, 25, 2100, 70, 5300",2026.09.02,3000233815,20020618178147,20020618178,,간편조리세트,경상남도,경상남도 창녕군,2026-09-02
당근,생산자 특정불가,데이터없음,20260902(의뢰일자),확인불가,서울특별시 보건환경연구원 강남농수산물검사소,,,,메트코나졸,0.05 mg/kg,0.08 mg/kg,2026.09.02,3000233828,,,,당근,확인불가,확인불가,2026-09-02
당근,생산자 특정불가,데이터없음,20260902(의뢰일자),확인불가,서울특별시 보건환경연구원 강남농수산물검사소,,,,포스티아제이트,0.2 mg/kg,0.4 mg/kg,2026.09.02,3000233828,,,,당근,확인불가,확인불가,2026-09-02
